Date,open,high,low,close,Adj Close,Volume
2016-03-16,7457.05,7508,7405.15,7498.75,7498.75,195400
2016-03-17,7557.4,7585.3,7479.4,7512.55,7512.55,239600
2016-03-18,7534.65,7613.6,7517.9,7604.35,7604.35,237400
2016-03-21,7619.2,7713.55,7617.7,7704.25,7704.25,196800
2016-03-22,7695.55,7728.2,7643.8,7714.9,7714.9,208900
2016-03-23,7717.45,7726.85,7670.6,7716.5,7716.5,199600
2016-03-28,7741,7749.4,7587.7,7615.1,7615.1,242400
2016-03-29,7606.55,7652.9,7582.25,7597,7597,216800
2016-03-30,7651.1,7741.95,7643.45,7735.2,7735.2,232600
2016-03-31,7727.65,7777.6,7702,7738.4,7738.4,380100
2016-04-01,7718.05,7740.15,7666.1,7713.05,7713.05,183900
2016-04-04,7733.15,7764.45,7704.4,7758.8,7758.8,155500
2016-04-05,7736.3,7736.3,7588.65,7603.2,7603.2,203800
2016-04-06,7636.05,7638.65,7591.75,7614.35,7614.35,165600
2016-04-07,7630.4,7630.75,7535.85,7546.45,7546.45,234400
2016-04-08,7542.35,7569.35,7526.7,7555.2,7555.2,143400
2016-04-11,7577.8,7678.8,7516.85,7671.4,7671.4,179800
2016-04-12,7669.25,7717.4,7663.35,7708.95,7708.95,163400
2016-04-13,7777.15,7864.8,7772.2,7850.45,7850.45,220400
2016-04-18,7908.15,7920.6,7842.75,7914.7,7914.7,184600
2016-04-20,7950.05,7950.4,7877.55,7914.75,7914.75,205300
2016-04-21,7953.65,7978.45,7884.1,7912.05,7912.05,223700
2016-04-22,7891.8,7923.35,7873.35,7899.3,7899.3,183300
2016-04-25,7894.8,7911,7827,7855.05,7855.05,146300
2016-04-26,7828.15,7974.5,7822.55,7962.65,7962.65,202400
2016-04-27,7942,7991,7940.55,7979.9,7979.9,206800
2016-04-28,7967.4,7992,7834.45,7847.25,7847.25,292500
2016-04-29,7844.25,7889.05,7788.7,7849.8,7849.8,243700
2016-05-02,7822.7,7829.8,7777.3,7805.9,7805.9,146300
2016-05-03,7824.8,7890.25,7735.15,7747,7747,186500
2016-05-04,7724.15,7749,7697.25,7706.55,7706.55,199700
2016-05-05,7731,7777.55,7706.85,7735.5,7735.5,185100
2016-05-06,7717.65,7738.9,7678.35,7733.45,7733.45,163600
2016-05-09,7755.25,7873.65,7753.55,7866.05,7866.05,160600
2016-05-10,7873.55,7896.9,7837.7,7887.8,7887.8,162000
2016-05-11,7804.65,7893.1,7780.9,7848.85,7848.85,214100
2016-05-12,7871.45,7916.05,7849.65,7900.4,7900.4,152700
2016-05-13,7881,7881,7784.2,7814.9,7814.9,179500
2016-05-16,7831.2,7873.9,7772.15,7860.75,7860.75,205200
2016-05-17,7896.85,7940.1,7879.7,7890.75,7890.75,183400
2016-05-18,7846.75,7882.05,7810.75,7870.15,7870.15,156400
2016-05-19,7875.5,7876.2,7766.8,7783.4,7783.4,170400
2016-05-20,7792.2,7812.4,7735.75,7749.7,7749.7,157000
2016-05-23,7813.95,7820.6,7722.2,7731.05,7731.05,172000
2016-05-24,7738.05,7761.55,7715.8,7748.85,7748.85,147000
2016-05-25,7811.8,7941.2,7809.3,7934.9,7934.9,176200
2016-05-26,7974.45,8083,7948.5,8069.65,8069.65,264300
2016-05-27,8081.95,8164.2,8077.05,8156.65,8156.65,260900
2016-05-30,8166.5,8200,8150.8,8178.5,8178.5,247400
2016-05-31,8209.85,8213.6,8134.3,8160.1,8160.1,471000
2016-06-01,8179.2,8215.35,8171.05,8179.95,8179.95,194400
2016-06-02,8156.9,8229.5,8154.75,8218.95,8218.95,181700
2016-06-03,8246.2,8262,8209.85,8220.8,8220.8,379000
2016-06-06,8228.75,8234.7,8186.05,8201.05,8201.05,171600
2016-06-07,8235.55,8294.95,8216.4,8266.45,8266.45,241900
2016-06-08,8285.5,8288.9,8252.05,8273.05,8273.05,174300
2016-06-09,8273.35,8273.35,8184.6,8203.6,8203.6,174900
2016-06-10,8180.25,8265.6,8162.85,8170.05,8170.05,182200
2016-06-13,8102.25,8125.25,8063.9,8110.6,8110.6,169700
2016-06-14,8134.4,8134.95,8069.5,8108.85,8108.85,145500
2016-06-15,8139.4,8213.2,8123.15,8206.6,8206.6,169800
2016-06-16,8180.65,8180.65,8074.45,8140.75,8140.75,189200
2016-06-17,8176.65,8195.25,8135.8,8170.2,8170.2,166600
2016-06-20,8115.75,8244.15,8107.35,8238.5,8238.5,168600
2016-06-21,8255.4,8257.25,8202.15,8219.9,8219.9,137000
2016-06-22,8213.65,8238.35,8153.25,8203.7,8203.7,136100
2016-06-23,8201.15,8285.6,8188.3,8270.45,8270.45,154100
2016-06-24,8029.1,8100.7,7927.05,8088.6,8088.6,297600
