DatetimeIndex,open,high,low,close
2018-06-21,10808.45,10809.60,10725.90,10741.10
2018-06-22,10742.70,10837.00,10710.45,10821.85
2018-06-25,10822.90,10831.05,10753.05,10762.45
2018-06-26,10742.70,10805.25,10732.55,10769.15
2018-06-27,10785.50,10785.50,10652.40,10671.40
2018-06-28,10660.80,10674.20,10557.70,10589.10
2018-06-29,10612.85,10723.05,10612.35,10714.30
2018-07-02,10732.35,10736.15,10604.65,10657.30
2018-07-03,10668.60,10713.30,10630.25,10699.90
2018-07-04,10715.00,10777.15,10677.75,10769.90
2018-07-05,10786.05,10786.05,10726.25,10749.75
2018-07-06,10744.15,10816.35,10735.05,10772.65
2018-07-09,10838.30,10860.35,10807.15,10852.90
2018-07-10,10902.75,10956.90,10876.65,10947.25
2018-07-11,10956.40,10976.65,10923.00,10948.30
2018-07-12,11006.95,11078.30,10999.65,11023.20
2018-07-13,11056.90,11071.35,10999.75,11018.90
2018-07-16,11018.95,11019.50,10926.25,10936.85
2018-07-17,10939.65,11018.50,10925.60,11008.05
2018-07-18,11060.20,11076.20,10956.30,10980.45
2018-07-19,10999.50,11006.50,10935.45,10957.10
2018-07-20,10963.50,11030.25,10946.20,11010.20
2018-07-23,11019.85,11093.40,11010.95,11084.75
2018-07-24,11109.00,11143.40,11092.50,11134.30
2018-07-25,11148.40,11157.15,11113.25,11132.00
2018-07-26,11132.95,11185.85,11125.70,11167.30
2018-07-27,11232.75,11283.40,11210.25,11278.35
2018-07-30,11296.65,11328.10,11261.45,11319.55
2018-07-31,11311.05,11366.00,11267.75,11356.50
2018-08-01,11359.80,11390.55,11313.55,11346.20
2018-08-02,11328.90,11328.90,11234.95,11244.70
2018-08-03,11297.80,11368.00,11294.55,11360.80
2018-08-06,11401.50,11427.65,11370.60,11387.10
2018-08-07,11423.15,11428.95,11359.70,11389.45
2018-08-08,11412.50,11459.95,11379.30,11450.00
2018-08-09,11493.25,11495.20,11454.10,11470.70
2018-08-10,11474.95,11478.75,11419.65,11429.50
2018-08-13,11369.60,11406.30,11340.30,11355.75
2018-08-14,11381.70,11452.45,11370.80,11435.10
2018-08-16,11397.15,11449.85,11366.25,11385.05
2018-08-17,11437.15,11486.45,11431.80,11470.75
2018-08-20,11502.10,11565.30,11499.65,11551.75
2018-08-21,11576.20,11581.75,11539.60,11570.90
2018-08-23,11620.70,11620.70,11546.70,11582.75
2018-08-24,11566.60,11604.60,11532.00,11557.10
2018-08-27,11605.85,11700.95,11595.60,11691.95
2018-08-28,11731.95,11760.20,11710.50,11738.50
2018-08-29,11744.95,11753.20,11678.85,11691.90
2018-08-30,11694.75,11698.80,11639.70,11676.80
2018-08-31,11675.85,11727.65,11640.10,11680.50
2018-09-03,11751.80,11751.80,11567.40,11582.35
2018-09-04,11598.75,11602.55,11496.85,11520.30
2018-09-05,11514.85,11542.65,11393.85,11476.95
2018-09-06,11514.15,11562.25,11436.05,11536.90
2018-09-07,11558.25,11603.00,11484.40,11589.10
2018-09-10,11570.25,11573.00,11427.30,11438.10
2018-09-11,11476.85,11479.40,11274.00,11287.50
2018-09-12,11340.10,11380.75,11250.20,11369.90
2018-09-14,11443.50,11523.25,11430.55,11515.20
2018-09-17,11464.95,11464.95,11366.90,11377.75
2018-09-18,11381.55,11411.45,11268.95,11278.90
2018-09-19,11326.65,11332.05,11210.90,11234.35
2018-09-21,11271.30,11346.80,10866.45,11143.10
2018-09-24,11164.40,11170.15,10943.60,10967.40
2018-09-25,10969.95,11080.60,10882.85,11067.45
2018-09-26,11145.55,11145.55,10993.05,11053.80
2018-09-27,11079.80,11089.45,10953.35,10977.55
2018-09-28,11008.10,11034.10,10850.30,10930.45
2018-10-01,10930.90,11035.65,10821.55,11008.30
2018-10-03,10982.70,10989.05,10843.75,10858.25
2018-10-04,10754.70,10754.70,10547.25,10599.25
2018-10-05,10514.10,10540.65,10261.90,10316.45
2018-10-08,10310.15,10398.35,10198.40,10348.05
2018-10-09,10390.30,10397.60,10279.35,10301.05
2018-10-10,10331.85,10482.35,10318.25,10460.10
2018-10-11,10169.80,10335.95,10138.60,10234.65
2018-10-12,10331.55,10492.45,10322.15,10472.50
2018-10-15,10524.20,10526.30,10410.15,10512.50
2018-10-16,10550.15,10604.90,10525.30,10584.75
2018-10-17,10688.70,10710.15,10436.45,10453.05
2018-10-19,10339.70,10380.10,10249.60,10303.55
2018-10-22,10405.85,10408.55,10224.00,10245.25
2018-10-23,10152.60,10222.10,10102.35,10146.80
2018-10-24,10278.15,10290.65,10126.70,10224.75
2018-10-25,10135.05,10166.60,10079.30,10124.90
2018-10-26,10122.35,10128.85,10004.55,10030.00
2018-10-29,10078.10,10275.30,10020.35,10250.85
2018-10-30,10239.40,10285.10,10175.35,10198.40
2018-10-31,10209.55,10396.00,10105.10,10386.60
2018-11-01,10441.70,10441.90,10341.90,10380.45
2018-11-02,10462.30,10606.95,10457.70,10553.00
2018-11-05,10558.75,10558.80,10477.00,10524.00
2018-11-06,10552.00,10600.25,10491.45,10530.00
2018-11-07,10614.45,10616.45,10582.30,10598.40
2018-11-09,10614.70,10619.55,10544.85,10585.20
2018-11-12,10607.80,10645.50,10464.05,10482.20
2018-11-13,10451.90,10596.25,10440.55,10582.50
2018-11-14,10634.90,10651.60,10532.70,10576.30
2018-11-15,10580.60,10646.50,10557.50,10616.70
2018-11-16,10644.00,10695.15,10631.15,10682.20
2018-11-19,10731.25,10774.70,10688.80,10763.40
2018-11-20,10740.10,10740.85,10640.85,10656.20
2018-11-21,10670.95,10671.30,10562.35,10600.05
2018-11-22,10612.65,10646.25,10512.00,10526.75
2018-11-26,10568.30,10637.80,10489.75,10628.60
2018-11-27,10621.45,10695.15,10596.35,10685.60
2018-11-28,10708.75,10757.80,10699.85,10728.85
2018-11-29,10808.70,10883.05,10782.35,10858.70
2018-11-30,10892.10,10922.45,10835.10,10876.75
2018-12-03,10930.70,10941.20,10845.35,10883.75
